state,county,pop_estimate
1,0,4921532
1,1,56145
1,3,229287
1,5,24589
1,7,22136
1,9,57879
1,11,9976
1,13,19504
1,15,113469
1,17,32865
1,19,26294
1,21,44397
1,23,12418
1,25,23291
1,27,13112
1,29,14967
1,31,53230
1,33,55411
1,35,11851
1,37,10650
1,39,36930
1,41,13681
1,43,84515
1,45,48959
1,47,36098
1,49,71658
1,51,82158
1,53,36281
1,55,102371
1,57,16241
1,59,31507
1,61,26411
1,63,7990
1,65,14670
1,67,17223
1,69,106580
1,71,51582
1,73,655342
1,75,13764
1,77,93368
1,79,32857
1,81,166831
1,83,102228
1,85,9641
1,87,17895
1,89,379453
1,91,18733
1,93,29703
1,95,96990
1,97,412716
1,99,20459
1,101,224639
1,103,119883
1,105,8687
1,107,19793
1,109,32966
1,111,22920
1,113,58237
1,115,90739
1,117,221428
1,119,12225
1,121,79985
1,123,40133
1,125,210758
1,127,63143
1,129,15976
1,131,10206
1,133,23508
2,0,731158
2,13,3401
2,16,5680
2,20,287095
2,50,18437
2,60,788
2,63,6427
2,66,2919
2,68,2081
2,70,4833
2,90,95651
2,100,2614
2,105,2141
2,110,31849
2,122,59414
2,130,13747
2,150,12992
2,158,8328
2,164,1493
2,170,110213
2,180,9909
2,185,9294
2,188,7644
2,195,3296
2,198,6147
2,220,8405
2,230,1179
2,240,6957
2,275,2510
2,282,637
2,290,5077
4,0,7421401
4,1,71875
4,3,127450
4,5,142481
4,7,54303
4,9,39211
4,11,9341
4,12,21480
4,13,4579081
4,15,217206
4,17,112112
4,19,1061175
4,21,480828
4,23,46808
4,25,240226
4,27,217824
5,0,3030522
5,1,17383
5,3,19339
5,5,42242
5,7,288774
5,9,37625
5,11,10639
5,13,5113
5,15,28276
5,17,9924
5,19,22103
5,21,14375
5,23,24935
5,25,7957
5,27,23331
5,29,21037
5,31,112245
5,33,63409
5,35,47616
5,37,16142
5,39,6802
5,41,11110
5,43,17977
5,45,126919
5,47,17897
5,49,12381
5,51,99789
5,53,18449
5,55,45597
5,57,21253
5,59,33787
5,61,13109
5,63,37757
5,65,13613
5,67,16636
5,69,65377
5,71,26513
5,73,6596
5,75,16410
5,77,8513
5,79,12944
5,81,12180
5,83,21410
5,85,73921
5,87,16644
5,89,16790
5,91,43177
5,93,40066
5,95,6584
5,97,9006
5,99,8099
5,101,7602
5,103,23167
5,105,10327
5,107,17299
5,109,10643
5,111,23283
5,113,19707
5,115,64334
5,117,7966
5,119,392980
5,121,18247
5,123,24682
5,125,123968
5,127,10164
5,129,7842
5,131,127590
5,133,16702
5,135,17424
5,137,12674
5,139,38219
5,141,16541
5,143,243216
5,145,78729
5,147,6264
5,149,21181
6,0,39368078
6,1,1662323
6,3,1119
6,5,40083
6,7,212744
6,9,46308
6,11,21558
6,13,1152333
6,15,27968
6,17,192925
6,19,1000918
6,21,28283
6,23,134977
6,25,180267
6,27,18046
6,29,901362
6,31,152692
6,33,64479
6,35,30016
6,37,9943046
6,39,157761
6,41,257332
6,43,17160
6,45,86061
6,47,279252
6,49,8763
6,51,14534
6,53,430906
6,55,135965
6,57,99606
6,59,3166857
6,61,402950
6,63,18967
6,65,2489188
6,67,1559146
6,69,64055
6,71,2189183
6,73,3332427
6,75,866606
6,77,767967
6,79,282249
6,81,758308
6,83,444766
6,85,1907105
6,87,269925
6,89,179027
6,91,2920
6,93,43245
6,95,446935
6,97,489819
6,99,550081
6,101,96385
6,103,64494
6,105,12216
6,107,468680
6,109,54515
6,111,841387
6,113,219728
6,115,80160
8,0,5807719
8,1,519883
8,3,16180
8,5,657452
8,7,14196
8,9,3555
8,11,5356
8,13,327171
8,14,72236
8,15,20661
8,17,1795
8,19,9586
8,21,8143
8,23,3921
8,25,5696
8,27,5183
8,29,31067
8,31,735538
8,33,2096
8,35,360750
8,37,54929
8,39,27313
8,41,728310
8,43,47867
8,45,60366
8,47,6235
8,49,15794
8,51,17593
8,53,808
8,55,6883
8,57,1389
8,59,583283
8,61,1458
8,63,7121
8,65,7987
8,67,56564
8,69,360428
8,71,14420
8,73,5680
8,75,21974
8,77,155603
8,79,773
8,81,13144
8,83,26408
8,85,43322
8,87,28941
8,89,18201
8,91,5001
8,93,18955
8,95,4367
8,97,17894
8,99,12106
8,101,169823
8,103,6342
8,105,11296
8,107,25560
8,109,6938
8,111,748
8,113,8105
8,115,2260
8,117,30631
8,119,25529
8,121,4875
8,123,333983
8,125,10047
9,0,3557006
9,1,942426
9,3,889226
9,5,179610
9,7,161657
9,9,851948
9,11,264999
9,13,150600
9,15,116540
10,0,986809
10,1,183643
10,3,561531
10,5,241635
11,0,712816
11,1,712816
12,0,21733312
12,1,271218
12,3,29566
12,5,171322
12,7,28593
12,9,608459
12,11,1958105
12,13,14078
12,15,194711
12,17,153010
12,19,221770
12,21,392973
12,23,72654
12,27,38520
12,29,17057
12,31,966728
12,33,322364
12,35,118451
12,37,12201
12,39,45277
12,41,18885
12,43,14198
12,45,13534
12,47,14521
12,49,26822
12,51,42813
12,53,198792
12,55,106639
12,57,1497957
12,59,19594
12,61,162518
12,63,46085
12,65,14543
12,67,8482
12,69,375492
12,71,790767
12,73,295460
12,75,42214
12,77,8364
12,79,18707
12,81,411219
12,83,373513
12,85,162088
12,86,2707303
12,87,73900
12,89,91113
12,91,212820
12,93,42297
12,95,1404396
12,97,385315
12,99,1507600
12,101,570412
12,103,976802
12,105,744552
12,107,74815
12,109,278715
12,111,337186
12,113,189139
12,115,443465
12,117,474171
12,119,139018
12,121,44851
12,123,21600
12,125,15182
12,127,561497
12,129,34319
12,131,76648
12,133,25932
13,0,10710017
13,1,18325
13,3,8393
13,5,11036
13,7,2971
13,9,45099
13,11,19352
13,13,85588
13,15,109426
13,17,16614
13,19,19408
13,21,152737
13,23,12955
13,25,19202
13,27,15357
13,29,40755
13,31,80839
13,33,22648
13,35,25426
13,37,6231
13,39,55388
13,43,10985
13,45,121633
13,47,67996
13,49,13430
13,51,289463
13,53,10551
13,55,24843
13,57,265274
13,59,127795
13,61,2866
13,63,292646
13,65,6582
13,67,762944
13,69,43218
13,71,45542
13,73,160377
13,75,17291
13,77,150849
13,79,12231
13,81,22034
13,83,16057
13,85,27113
13,87,26457
13,89,762009
13,91,20452
13,93,13174
13,95,86477
13,97,147988
13,99,10037
13,101,4002
13,103,65765
13,105,19335
13,107,22507
13,109,10638
13,111,26521
13,113,115821
13,115,98604
13,117,250847
13,119,23504
13,121,1077402
13,123,31978
13,125,2984
13,127,85568
13,129,58780
13,131,24491
13,133,18837
13,135,942627
13,137,46047
13,139,206591
13,141,8494
13,143,30383
13,145,36080
13,147,26406
13,149,11973
13,151,239139
13,153,160110
13,155,9387
13,157,76199
13,159,14483
13,161,15213
13,163,15267
13,165,8746
13,167,9667
13,169,28787
13,171,19261
13,173,10737
13,175,47512
13,177,30234
13,179,63004
13,181,8031
13,183,20171
13,185,118268
13,187,34186
13,189,21162
13,191,14387
13,193,12712
13,195,30457
13,197,8516
13,199,21164
13,201,5622
13,205,21602
13,207,28042
13,209,9012
13,211,19636
13,213,40032
13,215,196442
13,217,113295
13,219,41124
13,221,15383
13,223,173359
13,225,27950
13,227,33127
13,229,19522
13,231,19121
13,233,42840
13,235,11191
13,237,22520
13,239,2271
13,241,17273
13,243,6682
13,245,202079
13,247,90939
13,249,5196
13,251,14012
13,253,8060
13,255,67414
13,257,26107
13,259,6689
13,261,29282
13,263,6143
13,265,1562
13,267,25365
13,269,8074
13,271,15781
13,273,8523
13,275,44372
13,277,40719
13,279,26973
13,281,12247
13,283,6822
13,285,70214
13,287,7882
13,289,8103
13,291,25358
13,293,26527
13,295,70116
13,297,96875
13,299,35826
13,301,5232
13,303,20150
13,305,30023
13,307,2595
13,309,7751
13,311,31094
13,313,103837
13,315,8502
13,317,9694
13,319,8812
13,321,19972
15,0,1407006
15,1,203340
15,3,963826
15,5,87
15,7,71851
15,9,167902
16,0,1826913
16,1,494399
16,3,4447
16,5,88795
16,7,6143
16,9,9430
16,11,47202
16,13,23426
16,15,8065
16,17,46817
16,19,122134
16,21,12656
16,23,2646
16,25,1130
16,27,237053
16,29,7123
16,31,24277
16,33,852
16,35,8846
16,37,4249
16,39,27448
16,41,14215
16,43,13218
16,45,18703
16,47,15618
16,49,16823
16,51,30581
16,53,24578
16,55,170628
16,57,40830
16,59,8054
16,61,3838
16,63,5358
16,65,40318
16,67,21216
16,69,40755
16,71,4520
16,73,12133
16,75,24771
16,77,7643
16,79,12911
16,81,12501
16,83,88411
16,85,11792
16,87,10360
17,0,12587530
17,1,64783
17,3,5497
17,5,16262
17,7,52777
17,9,6546
17,11,32303
17,13,4616
17,15,14241
17,17,11925
17,19,209192
17,21,32075
17,23,15268
17,25,13079
17,27,37398
17,29,50383
17,31,5108284
17,33,18512
17,35,10649
17,37,104491
17,39,15368
17,41,19510
17,43,917481
17,45,16858
17,47,6356
17,49,34065
17,51,21264
17,53,12949
17,55,38060
17,57,33690
17,59,4793
17,61,12702
17,63,50993
17,65,8084
17,67,17422
17,69,3808
17,71,6535
17,73,48411
17,75,26711
17,77,56675
17,79,9465
17,81,37235
17,83,21616
17,85,21239
17,87,12358
17,89,531010
17,91,108594
17,93,130638
17,95,49053
17,97,693593
17,99,107571
17,101,15467
17,103,33647
17,105,35414
17,107,28383
17,109,29295
17,111,305888
17,113,171256
17,115,103015
17,117,44567
17,119,262635
17,121,37045
17,123,11309
17,125,13173
17,127,13636
17,129,12068
17,131,15225
17,133,34739
17,135,28045
17,137,33400
17,139,14347
17,141,50306
17,143,177652
17,145,20664
17,147,16355
17,149,15239
17,151,4142
17,153,5201
17,155,5716
17,157,31351
17,159,15507
17,161,140907
17,163,258046
17,165,23182
17,167,193882
17,169,6738
17,171,4950
17,173,21299
17,175,5262
17,177,43831
17,179,130777
17,181,16498
17,183,74855
17,185,11190
17,187,16696
17,189,13764
17,191,16031
17,193,13364
17,195,54656
17,197,688726
17,199,66415
17,201,281295
17,203,38091
18,0,6754953
18,1,35839
18,3,382187
18,5,84447
18,7,8741
18,9,11782
18,11,69347
18,13,15112
18,15,20228
18,17,37388
18,19,119266
18,21,26246
18,23,32206
18,25,10629
18,27,33505
18,29,49824
18,31,26584
18,33,43670
18,35,113454
18,37,42542
18,39,206161
18,41,22892
18,43,78936
18,45,16511
18,47,22761
18,49,20018
18,51,33825
18,53,65225
18,55,32203
18,57,344238
18,59,79553
18,61,40682
18,63,173251
18,65,48033
18,67,82732
18,69,36395
18,71,44222
18,73,33440
18,75,20416
18,77,32110
18,79,27515
18,81,160607
18,83,36522
18,85,78988
18,87,40119
18,89,487536
18,91,109663
18,93,45496
18,95,129681
18,97,966183
18,99,46108
18,101,10079
18,103,35328
18,105,148219
18,107,38365
18,109,70707
18,111,13907
18,113,47832
18,115,5892
18,117,19651
18,119,20833
18,121,16871
18,123,19154
